predictions,labels,delta
188500.48879015326,84000.0,104500.48879015326
253515.35560840002,85000.0,168515.35560840002
207445.88149209478,90000.0,117445.88149209478
267374.21658229036,95000.0,172374.21658229036
219459.94917979458,95000.0,124459.94917979458
303050.4922318261,95000.0,208050.49223182612
169555.09608821175,105000.0,64555.09608821175
259707.2476863283,105500.0,154207.2476863283
179212.65067326088,107000.0,72212.65067326088
197788.32690704567,114000.0,83788.32690704567
140070.71251660425,115000.0,25070.712516604253
262803.1937252924,115000.0,147803.1937252924
249829.55809061212,115000.0,134829.55809061212
241501.2879207002,118000.0,123501.28792070021
278282.92392011307,120000.0,158282.92392011307
290296.9916078129,125000.0,165296.99160781287
191226.71836096066,128000.0,63226.71836096066
207076.16502393805,129000.0,78076.16502393805
281009.1534909205,130000.0,151009.1534909205
288086.27090805874,132825.0,155261.27090805874
203980.21898497394,135000.0,68980.21898497394
206706.44855578133,137124.0,69582.44855578133
356566.80023342633,139500.0,217066.80023342633
219090.23271163786,140000.0,79090.23271163786
293392.937646777,140000.0,153392.93764677702
250419.40956943587,144975.0,105444.40956943587
180687.72749129467,145000.0,35687.727491294674
222186.178750602,145000.0,77186.178750602
371676.8139600903,147000.0,224676.81396009028
226021.5577258796,148000.0,78021.5577258796
194692.38086808153,150000.0,44692.38086808153
225651.84125772287,150000.0,75651.84125772287
228747.78729668702,150000.0,78747.78729668702
222186.178750602,150000.0,72186.178750602
296488.8836857411,150000.0,146488.8836857411
246953.747062315,152000.0,94953.747062315
349859.3992844448,152275.0,197584.3992844448
312708.0468168752,152900.0,159808.04681687523
188500.48879015326,155000.0,33500.488790153264
157541.02840051198,156000.0,1541.0284005119756
147883.47381546284,156000.0,8116.526184537157
330544.29011434654,159000.0,171544.29011434654
303050.4922318261,160000.0,143050.49223182612
324722.11450457503,160000.0,164722.11450457503
337105.89866043156,160000.0,177105.89866043156
175746.98816613998,160000.0,15746.988166139985
228157.9358178632,160000.0,68157.93581786321
374552.6249883874,160000.0,214552.6249883874
306661.94714184356,160797.0,145864.94714184356
385681.4673368771,161700.0,223981.46733687707
299215.1132565486,162000.0,137215.1132565486
479814.7903131678,162000.0,317814.7903131678
343813.29960941314,162500.0,181313.29960941314
314844.42490885884,163000.0,151844.42490885884
320886.7355292975,164000.0,156886.7355292975
213268.05710186632,165000.0,48268.05710186632
224912.40832140943,165000.0,59912.40832140943
229263.29616774025,165000.0,64263.29616774025
380818.85967408615,166000.0,214818.85967408615
222186.178750602,166000.0,56186.178750602005
271501.180363361,166600.0,104901.18036336103
277913.20745195635,166950.0,110963.20745195635
242532.3056628068,169100.0,73432.30566280679
311968.6138805618,169575.0,142393.61388056178
191226.71836096066,169900.0,21326.718360960658
229483.43117840734,170000.0,59483.431178407336
238035.62541357934,170000.0,68035.62541357934
238035.62541357934,170000.0,68035.62541357934
355681.5748942164,170000.0,185681.57489421638
154075.36589339114,170000.0,15924.634106608864
299954.546192862,170500.0,129454.54619286198
265529.4232960998,171500.0,94029.42329609982
327448.34407538245,172000.0,155448.34407538245
250049.69310127915,174900.0,75149.69310127915
237665.90894542262,174950.0,62715.90894542262
226021.5577258796,175000.0,51021.5577258796
240761.85498438677,175000.0,65761.85498438677
302830.3572211591,175000.0,127830.3572211591
506793.07932463504,175000.0,331793.07932463504
410228.90063792316,175000.0,235228.90063792316
396224.24726113625,176000.0,220224.24726113625
178842.93420510413,177000.0,1842.9342051041313
291182.2169470229,177500.0,113682.21694702288
281009.1534909205,178500.0,102509.1534909205
194322.6643999248,179000.0,15322.664399924804
407353.08960962604,179000.0,228353.08960962604
296268.7486750741,179900.0,116368.74867507408
248428.82388034882,180250.0,68178.82388034882
390252.4901938751,180500.0,209752.4901938751
377353.1971669653,181000.0,196353.19716696528
178842.93420510413,183000.0,4157.065794895869
209802.39459474548,184000.0,25802.394594745478
309757.89318080764,184500.0,125257.89318080764
231474.01686749439,184900.0,46574.016867494385
225651.84125772287,185000.0,40651.841257722874
402120.76547867834,185000.0,217120.76547867834
222186.178750602,185000.0,37186.178750602005
265529.4232960998,185000.0,80529.42329609982
277173.77451564296,185000.0,92173.77451564296
226167.35012877616,185000.0,41167.35012877616
284990.32486909465,185000.0,99990.32486909465
249829.55809061212,185000.0,64829.55809061212
418116.00454455224,185850.0,232266.00454455224
367475.5075712491,186000.0,181475.5075712491
231843.7333356511,187000.0,44843.73333565111
309757.89318080764,187000.0,122757.89318080764
293542.51910426666,187000.0,106542.51910426666
278798.43279116636,187500.0,91298.43279116636
